url,title,description,[tags]
https://search.marginalia.nu/,marginalia search,an indie search engine,"search,tools"
https://www.sheldonbrown.com/,Sheldon Brown's  Bicycle Technical Info,a remarkable collection of knowledge about the greatest form of transport,"reference,bikes,personal"
https://www.cyclingboardgames.net/,cycling board games,like bikes? like boardgames? this might be the sort for you?,"bikes,games,collections"
https://datasittersclub.github.io/site/,data-sitters club,a site dedicated to doing data science on the baby sitter club novels,"books,data"
https://cummings.ee/,e.e. cummings free poetry archive,"A collection of the work of Edward Estlin Cummings, as it enters the public domain. Three books are now available.","books,poetry,publicdomain,collections"
https://maxkoehler.com/,Max Kohler Visual Communication,designer Max Kohler's home page,"personal,design"
https://mhurrell.co.uk/,Mark Hurrell.,former colleague and superstar designer Mark Hurrell's home page,"personal,design,peopleiknow"
https://alicebartlett.co.uk/,Alice Bartlett,"developer, former colleague, and all round excellent person Alice Bartlett's website","personal,dev,peopleiknow"
http://freakytrigger.co.uk/,Freaky TriggerEst. 2000,it's quieter than during it's hey day but i will allways love Tom Ewing's music site,"music,blog"
http://www.nathalielawhead.com/candybox/,Candybox,Game  dev and all round creative genius Nathalie Lawhead' weblog,"videogamed,personal,dev"
https://mikegallagher.org/,Mike Gallagher,My friend and former co-worker Mike's website,"personal,design,peopleiknow "
https://roadarch.com/roadside.html,roadside architecture,"more than 2,700 pages and over 70,000 photos","design,america,transport,collections"
http://www.superrune.com/tutorials/lucasfilm_ega.php,Lucasfilm EGA adventures,an appreciation of the graphics of old video games,"design,videogames,personal,nostalgia"
https://bradfrost.com/,bradfrost,the home page of web designer Brad Frost,"design,personal,dev"
http://www.playingcardmakerscollection.co.uk/index.html,Worshipful company of makers of playing cards,a fantastic repository of playing cards from around the world and through time,"cardgames,design,history,collections"
https://platform.leolabs.space/,LeoLabs Platform,get data of low earth orbit data,"tools,data"
http://electronicplastic.com/,electronic plastic,"a massive collection of electronic toys, game and watches and the like, mainly from the 80s and early 90s","collections,design,videogames"
https://www.derekyu.com/,derek yu,legendary creator of Spelunky,"games,personal"
https://doodad.dev/pattern-generator/,pattern generator,create patterns,"tools,design"
https://blog.thea.codes/,Blog posts & articles by Stargirl Flowers,"hadware, musical instruments, programing and design, that kind of thing","blog,personal"
https://donsmaps.com/,Don's Maps,"Resources for the study of Palaeolithic / Paleolithic European, Russian and Australian Archaeology / Archeology","maps,collections,history"
https://www.nps.gov/carto/app/#!/parks,Find a National Park Service Map,lots of maps of american national parks,"maps,america,collections"
https://docs.google.com/document/d/1iNSQIyNpVGHeak6isbP6AHdHD50gs8MNXF1GCf08efg/pub,Scroll Back: The Theory and Practice of Cameras in Side-Scrollers,very detailed and clearly explained exploration of 2D game cameras,games 
https://www.tessera.li/,homepage of nat alison,"a software engineer, this page includes a wonderful polyhedra viewer","personal,shapes,dev"
http://dmccooey.com/polyhedra/,Visual Polyhedra,These pages present interactive graphical polyhedra organized in several categories,"shapes,collections"
https://www.saul.pw/,Saul Pwanson,"developer and data guy, great crossword content","personal,data,dev"
https://playingcards.io/game/standard-deck,PlayingCards.io,simple system for playing cards games (standard 52 card deckcard deck type things),"games,tools"
https://www.wopc.co.uk/,world of playing cards,a lot of information about playing cards,"games,history,design"
https://sound-effects.bbcrewind.co.uk/,bbc sound effects,this feels like the bbc internet from a bygone era a redource of incredible scope and richness presented in an unfussy manner,"collections,sound,bbc"
https://richarddawson.net/,richard dawson,The homepage of the fantastic musician Richard Dawson. ,"music,personal"
http://policediversnotebook.blogspot.com/,The Police Diver's Notebook,"I still revisit Nick Talbot's old blog. His voice is there in posts; argumentative, articulate, funny. ","blog,personal,music,peopleiknow "
http://www.bronnt.com/,Bronnt Industries Kapital,the music of Guy Bartel,"music,personal,peopleiknow "
https://klim.co.nz/,Kilm Type Foundry,Kris Sowersby's website. fantastic fonts and fascinating writing about fonts,"fonts,business,design"
https://thebookofmodding.ml/,the book of minecraft modding ,it says it's a book but it's actually a website,"games,dev"
https://www.foldnfly.com/#/1-1-1-1-1-1-1-1-2,fold'n'fly,paper aeroplane folding instructions,"instruction,craft"
https://logic.ly/,logicly,try out simple logic circuits in your browser,"tool,dev"
https://patrickcollison.com/,Patrick Collison,"i like personal home page that list books that the owner has read, this one does",personal
http://wayneandwax.com/,wayne and wax,,"music,blog"
https://int10h.org/,int10h,lots of resources around the nostalgic aesthetic of MS DOS computers in the late 80s early 90s including a ton of fonts,"dev,computers,history,collections,nostalgia"
https://retours.eu/en/,retours,i love rail travel and this site has a bunch of fascinating stuff about the history and design of railways in europe,"trains,transport,design,history,collections"
https://ciechanow.ski/,Bartosz Ciechanowski,a blog with loads of interactive explanations,blog 
https://watabou.itch.io/one-page-dungeon,one page dungeon,generates maps for dungeon crawling,"rpgs,maps,tools,games"
https://www.londonsscreenarchives.org.uk/,london screen archives,a collection of old films about london,"london,films,collections,history"
https://maps.speccy.cz/,speccy screenshot maps,,"computers,games,maps,nostalgia"
http://www.luminist.org/archives/,LUMINIST ARCHIVES,"books, lots of scifi and other fiction","collections,books,scifi"
https://dbdiagram.io/home,dbdiagram,Draw Entity-Relationship Diagrams. Type in some json like syntax and get a nice diagram,"tools,dev"
https://geargenerator.com/,gear generator,generates gears,tools 
https://bookmongers.com/,bookmongers,a second hand bookshop in south london. i like the website ,"books,business,london"
https://www.childrensbookshoplondon.com/,Children's Bookshop Muswell Hill,"Possibly the best bookshop in london, it does only sell childrens books (and some YA) but the staff really know their stuff and their selection is impeccable","books,business,london"
http://walkman-archive.com/gadgets/index.html,the walkman archive,nostalgic stuff,"collections,music,nostalgia"
http://wurstcaptures.untergrund.net/music/,sound generator,"generate ""music"" from bitwise operators","music,dev"
http://www.radicalcartography.net/,radical cartography,a collection of unusual and provocative maps,"maps,collections"
https://www.edwardtufte.com/tufte/,edward tufte,,"datavisualisation,personal"
http://www.tubemapcentral.com/writing/writing.html,"maxwell roberts, tubemap central",,"datavisualisation,transport,personal"
https://ui.glass/generator/,css glass effect generator,,"generator,dev"
https://www.designer-notes.com/,Soren Johnson's Game Design Journal,,"games,personal,blog"
https://www.dischord.com/fugazi_live_series,Fugazi Live Series,"A great band and a great website, archiving and offering up a vast collection of recordings of their live shows.","music,collections"
https://stephanietuerk.us/main,Stephanie Tuerk,,"personal,datavisualisation"
https://observablehq.com/@tomgp,My Observable notebooks,,"me,datavisualisation"
https://www.cupery.net/,Ken's Paper Boat Page,,"personal,transport,engineering,history"
